AÑO,MUNICIPIO,MACHOS MENORES DE 12 MESES,HEMBRAS MENORES DE 12 MESES,MACHOS DE 12 A 24 MESES,HEMBRAS DE 12 A 24 MESES,MACHOS DE 24 A 36 MESES,HEMBRAS DE 24 A 36 MESES,MACHOS MAYORES DE 36 MESES,HEMBRAS MAYORES DE 36 MESES,TOTAL
2019,Sutamarchán,499,590,795,433,209,517,8,1062,4113
2019,Sutatenza,491,522,376,451,209,408,97,1118,3672
2019,Tasco,1309,1060,935,884,615,852,158,3689,9502
2019,Tenza,602,565,606,555,562,455,216,1651,5212
2019,Tibaná,966,975,870,926,752,944,145,2865,8443
2019,Tibasosa,802,1444,580,673,310,557,60,3556,7982
2019,Tinjacá,350,443,495,401,189,263,23,1341,3505
2019,Tipacoque,471,438,353,311,389,356,332,1242,3892
2019,Toca,1624,1975,903,1626,582,934,141,6707,14492
2019,Togüí,390,171,345,406,169,333,73,912,2799
2019,Tópaga,307,262,133,116,78,129,13,759,1797
2019,Tota,1317,1463,947,1057,417,549,262,4000,10012
2019,Tunja,1229,1342,904,787,648,864,300,3145,9219
2019,Tununguá,73,95,155,74,143,92,6,233,871
2019,Turmequé,1026,766,737,1146,391,211,4,3217,7498
2019,Tuta,2065,3253,1409,2302,1150,3049,251,11121,24600
2019,Tutazá,1032,1154,877,789,356,1341,55,1929,7533
2019,Úmbita,1566,1256,1000,1143,490,581,53,4138,10227
2019,Ventaquemada,2359,3319,1725,2080,1056,3072,193,9536,23340
2019,Villa de Leiva,598,635,966,610,503,632,82,792,4818
2019,Viracachá,1085,899,524,413,189,474,14,2763,6361
2019,Zetaquirá,1103,960,1031,910,962,910,328,2636,8840
2019,Monguí,519,761,419,526,266,936,40,723,4190
2020,Tunja,1514,1533,1379,1183,734,1441,301,3161,11246
2020,Almeida,293,259,310,297,244,256,144,764,2567
2020,Aquitania,2175,2071,2704,1978,2502,1870,758,4547,18605
2020,Arcabuco,1030,1301,1237,1324,783,799,222,4369,11065
2020,Belén,1157,1985,1176,1714,701,1347,73,6969,15122
2020,Berbeo,539,452,402,380,473,367,179,1123,3915
2020,Betéitiva,512,466,440,365,163,228,16,1244,3434
2020,Boavita,859,1011,940,1016,549,606,383,2417,7781
2020,Boyacá,740,785,614,624,283,315,80,1923,5364
2020,Briceño,232,330,283,401,215,437,86,926,2910
2020,Buenavista,686,965,917,935,556,604,98,2180,6941
2020,Busbanzá,186,134,186,120,52,98,0,281,1057
2020,Caldas,557,1786,608,1556,198,1659,16,4867,11247
2020,Campohermoso,1699,2043,2347,2033,1872,2279,854,5014,18141
2020,Cerinza,478,803,399,775,207,642,63,2980,6347
2020,Chinavita,856,800,784,777,993,758,445,2057,7470
2020,Chiquinquirá,907,5052,1240,4466,605,5243,34,14798,32345
2020,Chiscas,1496,1630,1740,1203,1625,1199,753,3775,13421
2020,Chita,1428,1336,1473,1268,1450,1148,535,2923,11561
2020,Chitaraque,385,267,584,548,775,547,352,1286,4744
2020,Chivatá,439,636,404,414,104,84,1,1384,3466
2020,Ciénega,1218,1311,774,588,456,254,36,3533,8170
2020,Cómbita,1583,2009,1311,1866,544,1724,59,5861,14957
2020,Coper,758,597,830,832,1252,707,356,1856,7188
2020,Corrales,109,154,180,134,120,94,44,401,1236
2020,Covarachía,303,363,204,253,181,299,302,824,2729
2020,Cubará,1259,1141,1429,1028,1341,974,466,3138,10776
2020,Cucaita,314,297,580,392,168,398,16,778,2943
2020,Cuítiva,279,295,524,492,156,137,54,1361,3298
2020,Chíquiza,915,603,538,454,396,461,63,3578,7008
2020,Chivor,263,303,427,452,388,344,187,957,3321
2020,Duitama,1261,2182,1216,1836,586,990,136,5989,14196
